,city,country,population,year
5350,Fukuoka,Japan,1463743.0,2010
3938,Mashhad,Iran,1463508.0,1986
3902,Shiraz,Iran,1460665.0,2011
4445,Jaipur,India,1458183.0,1991
5847,Ecatepec,Mexico,1455909.0,1995
4961,Palembang,Indonesia,1455284.0,2010
3474,Huizhou,China,1454508.0,2000
7806,Santa Cruz de la Sierra,Bolivia,1453549.0,2012
4656,Almaty,Kazakhstan,1450095.0,2012
6245,Phoenix,United States,1447626.0,2010
4606,Haiphong,Vietnam,1447523.0,1989
5576,Singapore,Singapore,1445929.0,1957
5400,Daejeon,South Korea,1442856.0,2005
1389,Kharkiv,Ukraine,1441362.0,2012
2642,Gaziantep,Turkey,1438373.0,2012
1718,Nizhnii Novgorod,Russia,1438133.0,1989
4960,Palembang,Indonesia,1437515.0,2000
2084,Novosibirsk,Russia,1436516.0,1989
9205,Harare,Zimbabwe,1435784.0,2002
5925,Puebla,Mexico,1434062.0,2010
4389,Bhopal,India,1433875.0,2001
5225,Kawasaki,Japan,1425512.0,2010
2085,Novosibirsk,Russia,1425508.0,2002
8153,Recife,Brazil,1422905.0,2000
5351,Fukuoka,Japan,1422831.0,2012
5396,Gwangju,South Korea,1417716.0,2005
5276,Kyoto,Japan,1415000.0,1995
4489,Faridabad,India,1414050.0,2011
8811,Quito,Ecuador,1413179.0,2001
